"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",13,1195
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",14,1167
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",15,1092
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",16,943
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",17,753
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",18,631
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",19,573
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",20,477
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",21,356
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",22,270
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",23,219
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",0,170
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",1,180
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",2,170
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",3,220
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",4,357
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",5,709
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",6,1031
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",7,878
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",8,763
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",9,1115
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",10,1335
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",11,1364
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",12,1299
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",13,1306
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",14,1286
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",15,1145
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",16,906
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",17,812
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",18,739
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",19,616
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",20,449
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",21,323
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",22,240
2015,1,"R1, buitenring Antwerpen (ring 2)","van Borgerhout tot Antwerpen-Oost richting Ring 2",23,192
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",0,20
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",1,19
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",2,21
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",3,32
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",4,66
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",5,243
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",6,334
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",7,297
2015,1,"R1, binnenring Antwerpen (ring 1)","complex St. Anna/Linkeroever richting Ring 1",8,240
